Var1,powerall_1,powerall_2,powerall_3,powerall_4,powerall_5,powerall_6,powerall_7,powerall_8,powerall_9,powerall_10,powerall_11,powerall_12,powerall_13,powerall_14,powerall_15,powerall_16,powerall_17,powerall_18,powerall_19,powerall_20,powerall_21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,16.1685171723487,16.4661461037958,16.8131858207798,17.5075509330556,17.7168316381166,17.9676754163784,17.8441017331141,19.323192049467,18.118537867908,19.4195810018468,20.4323816971597,20.7237516098066,20.1474069330799,21.1617004502992,21.8747218460501,23.4672917343559,21.818218817455,20.6432887384384,24.0386570575356,23.1167442779373,24.5511051227097
2000,28.6653479346031,30.3441680954673,32.0389252004523,32.2850267656332,32.9995711477072,33.0668236227978,33.242558556562,32.7471155978021,33.0392187414019,33.5739525532646,35.5989005032859,34.8098534432846,34.0970711589237,35.7244093183264,36.1819649293868,36.2065141827704,35.6766497181791,38.062194352256,40.0058398073436,40.5508164294674,41.6200715106029
3000,42.6478155256072,44.0826345270602,45.1671560047461,47.1336570587521,50.0963643115346,47.9952503339433,49.3620799777336,48.8767851075426,49.38269655516,49.7567039736497,50.2131541602628,49.6834574660888,50.5806463601985,51.6411781775853,49.3772896868559,48.9443050477416,49.6050224487578,54.4213480419177,53.7062799446178,54.1258724409386,54.4395758093172
4000,54.6784098284365,55.6807309486534,61.3873757205014,63.354840758079,62.6865904734672,64.9897122047511,65.320301830777,63.1252877387566,63.9457136127712,64.5759113565073,65.3801249927423,65.2305778999446,65.7780964843011,65.8908719070807,66.0692790148821,67.4870758505193,68.0244788635677,69.3415684522267,66.6134390008478,68.7383834065934,69.8370666971634
5000,67.3674072958908,72.8347721000964,77.6492248395701,74.8901528699948,77.9723502908901,78.8132604117977,79.4714561958654,81.2438603580317,83.7772442298173,80.5902985018445,80.2186821503015,84.8124529477765,84.9448758852379,80.8988567868673,80.4877892511668,84.1391159586266,84.5081562864869,84.729908961623,82.6735318708906,84.1894247548403,85.7522587520294
6000,80.2123949927872,87.1755596890701,84.5072886453695,90.0514608435708,91.8437271970244,100.312646550563,97.622189965804,98.915209389792,102.397770603689,96.9218121034173,94.7927056187013,96.4444375541261,97.8690268678847,104.089506528744,97.639378330543,99.9090805448162,98.2540936563349,100.05246838387,101.823572597243,100.402860978116,102.076861422403
7000,91.9030161671579,99.9079729574584,102.379505077447,102.284363511322,106.678688515856,108.530280179647,110.901627797297,108.027300990002,115.105542891393,114.711203738251,110.866754214016,112.836846795059,111.850769255497,115.347246029913,115.830312482109,117.134099829343,117.704083433017,119.37906076307,114.711129490151,119.050001535441,119.250864706802
8000,100.442703596579,113.257380634923,112.138072422118,116.341259562571,118.83943649059,123.236190954308,122.158694147083,122.068988097042,127.129285734426,125.088354022717,133.002201604985,132.402590084935,127.559105846616,128.929206295988,128.962818272715,129.448600306465,131.133239259453,133.105971979622,130.97241851299,131.936324970796,136.283607079603
9000,113.471693890601,118.673165093298,124.211382920627,130.205083636048,134.22244434643,132.160619467343,135.657042096634,139.228346316765,140.326568246919,138.520913377017,140.054135952191,142.53697928752,145.13487411861,151.884324802944,148.32519353232,143.809542497981,148.677107280632,149.38141157451,148.191963537242,144.228714613286,146.952857524268
10000,122.219777273429,130.383083246297,135.609243130902,140.341080112573,142.909233551077,143.823213500126,146.57764855531,148.57911002365,149.484111490637,154.617792248693,155.709052428141,158.641941738965,162.101178543916,161.570953207678,157.910693973321,158.621657925349,165.840973129969,159.146233975642,166.438421979866,159.018077284204,160.743146692349
11000,134.158918746818,146.462404458626,148.505401897171,159.218833654368,156.644485014907,159.364814984328,161.00082155296,159.689278566804,169.644955702732,165.249779091649,169.387292190065,169.718263228909,171.443561917119,172.878682240567,174.390737674168,181.27691756754,175.661119303294,180.433451786683,178.674415263493,180.65594833931,189.449502830376
12000,143.999486017408,153.492349529289,159.974774199022,163.80916333357,166.865887825375,175.180583917499,181.89565575927,177.514275222836,178.584663821698,180.755499968717,183.924857890123,182.715257541011,181.758466470145,185.450442209144,191.366626385112,192.604760239282,196.714855483994,192.334743183014,197.695578512519,197.028789517922,198.16217803428
13000,148.080150005696,161.864295879459,168.220673160686,172.8763706481,179.439860291672,178.938461311466,189.146977490984,185.628776046674,191.683529450085,192.902467661391,196.641888836014,201.120930443412,198.193441904244,207.472990630939,202.085366259049,208.329369824956,212.006229843366,212.96190563499,216.068132812121,213.678849039656,222.707037316162
14000,158.020337298712,175.622981222738,178.601051704616,181.988476280544,189.309284191023,195.400396089653,197.789428734233,208.545404719401,203.822783010374,203.757755076249,208.785127655435,209.722393626338,210.689750572349,214.357760937907,218.372943960057,217.18498718933,225.469607813326,229.591703827644,232.014195736795,230.880102304372,237.366151892385
15000,167.746674450449,184.231779523854,189.845218351694,192.239699428418,196.143489108437,203.684528131514,205.28740759003,211.112132193523,215.612544595013,217.229351627785,221.246076360426,225.13528964122,226.566902767857,227.083314499131,232.56389019155,236.291297899712,240.84980118861,238.107163417693,241.203352773269,241.862310102406,240.308433188493
16000,175.74235545619,186.127817681968,194.70498231275,203.380201142898,205.852447397879,214.101651641254,215.557679791643,221.102242670903,223.653463432627,235.401050112735,234.457868513358,233.58137878646,247.639787715103,245.215099719235,247.353815614736,250.882191506859,254.877072932465,248.633392496199,254.444883287128,263.312833646474,265.620618963518
17000,178.232196867384,187.703242361162,205.756436062686,210.616380661396,217.645813359598,224.510259827273,229.425106330359,237.417521022013,238.102795061903,243.955812203934,248.039297170622,259.501295035152,253.146591437856,259.542602324638,259.571170131075,264.876312620792,275.529210222179,268.344494754589,271.611481919153,280.533209902059,283.393100307937
18000,184.875147727597,198.382423807731,204.325159813012,218.192205238587,227.600356416731,233.856189732939,237.820485171881,240.311750891379,245.660236013402,253.178109798455,259.644600810224,260.301025024422,268.615993042424,275.047178388348,274.742932512016,283.227894475434,284.050910417146,285.7161274591,286.024521468742,288.102548628271,294.804049230669
19000,193.658376935063,208.038648467326,217.716002798292,221.296016128172,234.241088263977,238.651232787998,252.291907468867,251.700621617649,255.573261996203,263.477499514259,275.873636889471,275.3253817164,292.087882236641,281.040070589662,295.977240191574,288.424087801957,300.086117963006,306.385545776909,300.646095851772,301.988552492902,311.251919934444
20000,192.595656434555,210.005466211553,217.865027430073,231.578615217346,243.098885733371,248.383440499389,255.759004377695,265.084373956839,268.309650559719,277.624432616629,295.17673425048,299.886862799015,296.588527037663,295.389806826655,303.828562010394,305.92052170648,305.649209472145,310.855464264414,309.765244578162,320.374665886554,316.296794978038
21000,196.942664595292,212.607118559299,229.086729060375,240.777271941726,251.140254597901,260.001988336165,269.154543292837,272.649136844526,280.590367615333,285.325481094152,292.15195436876,300.310282764628,317.326088375717,313.126297463559,324.172664832385,316.632172686807,327.846089371008,332.678015689253,326.648985306331,326.769665072864,336.437401695338
22000,201.147696119537,223.25953204461,232.77401521726,249.890965576168,260.049127528279,266.070054034004,280.016560553078,286.072725831649,299.06863585825,298.328446511695,302.897874687314,316.553010953248,319.435388952815,337.787789817595,336.518282874383,334.909275759078,340.66440181515,345.959703484937,350.447845065855,347.203858455419,349.467211526898
23000,205.191714389861,222.517833688158,239.681900130189,257.903219212238,265.572218042597,278.342695006184,284.14744271072,295.780602332127,300.876709455734,304.605185062639,315.606503408322,323.814380320647,330.509579689617,340.599280316922,346.514770066452,350.735381541565,351.531088701162,358.419415108665,362.411324237059,372.080070756783,365.261912327536
24000,208.14643293603,226.649812524131,246.643786057103,259.476579545275,278.413694433501,290.742425850534,295.706542424437,313.063718881026,309.222974443611,320.998142760349,325.527130765141,346.57437684505,345.102879604663,358.040285612759,356.952118972097,363.580667266652,364.385804332483,375.438085219324,377.670391625065,381.155714714193,387.412624541604
25000,211.193645553941,232.342141562849,246.033584214547,261.369788005802,277.278982960516,289.12638397398,302.999023726033,312.390372756617,322.859353346708,339.14502204916,339.807643385374,354.138403521757,364.462957676794,363.451800776652,373.528069358068,384.601259301615,382.039709203735,387.959423006431,393.474724634989,396.934354739276,399.319374763371
26000,216.301046555938,233.976884043538,259.237307690148,269.651059266201,287.02005742631,298.637213795483,308.676224004466,328.972775885099,332.752029954777,349.312504471727,353.087678731626,355.746391977525,372.714285487451,383.521136262956,385.186683692712,394.616055758381,395.735099026753,397.409835703499,415.491583132558,407.149495656188,418.713760206995
27000,215.732045206812,236.486678588443,254.103847547404,273.717905781556,294.505285842778,306.277747077308,317.213242962841,338.609841032474,338.744876461445,364.058107666782,367.874164627291,380.928621622215,384.522529016909,396.526975266073,398.413094041591,408.742985522043,408.62711843745,414.438995720399,424.741320764006,421.575161272512,431.150508649632
28000,217.91309488156,239.485875816063,264.507316827149,286.201682523865,298.636305067091,308.45550235696,326.012304495944,334.532343983517,353.09297827001,356.368215265526,376.99459458459,390.315075666615,398.043430652126,408.486608830516,410.603758029421,412.229517570313,421.435052210696,438.139938176569,440.712095979361,444.177031748785,450.75903540108
29000,219.897523426506,249.735449026033,271.143926982013,286.691520468566,313.139090769104,319.016488452291,332.334636396847,342.699533719482,365.494532093163,369.945561978903,390.220205848017,395.709836310048,407.552273790509,416.924002991063,426.371996636157,436.054990321731,443.634718467288,449.26469150021,455.960510469343,452.211489741512,460.984723075175
30000,222.940983343453,249.649479590169,269.177360263376,289.269632186936,305.712815940454,323.965528372466,339.175206711057,352.000639193853,374.55257247966,374.520163817796,400.988749379838,405.969496486138,417.685303074987,427.820190644688,436.660118677432,446.26700370517,454.895649867906,458.495116915378,467.965651792354,464.110379282355,481.268418346576
31000,222.674592873935,257.462390847687,272.711286152456,295.389068971198,313.436622223334,326.330083715084,343.530206196113,361.590734772637,384.3829696663,392.561942928659,407.688376102924,422.28234629378,430.064592766835,443.400688460785,450.43442848142,457.252082135597,465.585836555495,471.179435915455,479.560392667603,486.157166487846,489.657884606021
32000,222.959314592725,248.011120581658,271.779456280561,298.822821931758,313.593736182971,335.762564103804,353.724625373354,375.927153243385,378.982553969882,409.519766061341,422.11330457693,429.519391066043,440.625810213977,451.542384683518,458.741686316943,469.129920415317,477.39653674032,487.384695180732,493.781953017732,498.640769287348,497.537868663241
33000,223.998495995275,251.406012346995,279.472355274793,301.246793064614,323.062017231914,341.776484151675,360.389234566244,374.489016308632,400.303643009677,406.079738254829,426.095083653611,445.961875749344,451.466865408053,456.513240028454,473.374357286812,478.131072598192,490.341493967204,503.194109295637,508.072316547958,513.525395111591,519.158659111055
34000,224.1819714023,254.67828943873,279.337713048685,305.656484597225,329.23449093677,347.403620631781,363.87110410851,386.687013567186,408.288110706476,421.969021807103,439.550708949757,454.572075347516,468.014976876176,473.582590495484,484.789639962961,488.287561680172,501.161717660999,506.000746964672,522.901496585409,524.807374120636,534.194827916166
35000,224.404423206491,249.343138328985,282.746527934311,304.071786039051,329.439865397288,357.866312709507,370.15083464005,389.313910436251,404.930639233316,430.16408789047,447.69404893426,463.514908591103,474.134452485886,483.091547412812,499.172376488349,504.395647319239,508.340547465973,521.445654087238,533.255599373188,538.440579045039,548.08490582025
36000,225.539986947518,251.863110547611,282.776320771272,310.400427622277,329.200800746183,354.663344563013,372.513882435543,407.51803500622,426.377871215281,439.803098728103,449.162432503946,467.906357727865,483.162892456121,493.882227558065,505.684367351747,514.593575921153,524.186781467418,533.188677543147,541.683929950364,556.009635609446,563.143249319849
37000,225.55188092561,256.550463306645,279.212379497729,306.908231563078,337.463491128948,358.887463808163,377.499755390442,400.008434209104,430.501057566987,444.732246707367,467.374607889367,481.56304616826,489.722325647522,507.188818851536,518.11009039281,530.73422533965,538.066491324153,546.101834845222,558.961646706665,569.233654617638,575.889937679999
38000,225.199107727621,255.303479814873,287.42361558074,316.474683734105,336.325533948759,364.622694370711,383.934958529518,405.687540995325,434.648387361638,459.186351532318,480.713850060882,489.161271103667,500.051035628986,521.156797516781,529.583975702394,535.306728247933,547.262798421437,557.597482519644,566.003760767958,571.449343974922,585.097959335292
39000,224.099551395074,258.396474363098,280.862249963613,321.245231918483,339.099888352518,366.953404930057,388.44298347594,432.160519004443,429.932527460052,460.398354873531,481.953299087268,501.067406503897,515.291087642773,525.993222686523,533.464487978766,549.800660193852,560.365110348213,574.970195286869,584.491654436658,585.836114824017,601.795598712922
40000,227.15372761653,256.183201810312,290.123376585342,324.282834021063,343.261388782503,368.869328252269,395.24329405449,422.32502567897,441.970724614529,471.807899021344,493.316271454091,512.072803504906,525.125338976848,536.978435983226,550.704147292147,565.331314080879,569.089245995716,578.578078626756,590.533960423142,600.132861242968,613.125041909297
41000,222.900372274398,259.544443160147,289.760188849363,321.942668251635,343.172198304847,375.926366571792,397.18578426115,421.895820692558,462.081275422683,472.906257689765,498.585306402329,523.160066344216,537.804752264966,547.866887319383,560.469450091464,573.24426948245,580.330119489282,591.259479295307,605.339657266412,612.696112989566,624.072507004923
42000,222.089574700148,258.650737494928,293.603147160818,328.769831133446,350.945339350404,376.514883823276,402.560768355182,435.266544588023,460.596086559719,485.443453594815,504.172015619481,526.582449442124,546.366077510562,555.08078149792,570.981467353547,583.809210908472,596.629234713733,599.831260369539,620.448092540999,628.135209166644,639.125190141845
43000,221.728800009221,252.354237601946,282.776899841362,325.106965103295,353.897284238814,385.713220318183,411.761158775194,440.323460901855,464.545353907494,497.326650211307,506.282189600916,537.97680728842,557.933270138508,571.194602637229,584.166203031691,595.488159226588,605.467092845836,615.444910759819,626.188037026693,640.801976298714,649.592478880327
44000,220.542644634976,248.984587102935,290.800470338225,323.573838109893,353.516343208655,378.34773238459,416.924987949514,452.289936025961,478.261027518664,503.128380802911,522.62695167386,544.91779645191,557.658259440275,580.922684257696,595.575003489099,608.25030350479,619.578203379812,629.91918526368,635.57191092835,655.330261366649,659.833434155491
45000,220.889652684876,250.834652069086,290.052726299919,326.310361328326,357.179448931101,390.049614923022,418.071467855866,449.264240866329,473.462603800234,506.749326256885,533.079299920852,548.049884258138,568.249673572794,589.689990163149,608.91376047192,611.906748214654,635.77975302718,641.128756125816,654.16663502736,663.672897671164,675.541973069554
46000,218.671950197427,253.091691308383,281.567044267553,329.152559498074,360.74277182281,389.127045295217,431.375842635678,456.466429083753,493.489615130967,519.138102217888,531.990159764194,553.076333745953,577.096717994986,599.717886823794,612.399490927741,625.876433821571,631.4174298927,653.934430795733,666.076566535183,672.617190034737,685.390679621813
47000,218.352481684253,245.919587018832,285.189368047396,321.362819525008,359.580510109789,391.720214508977,429.397017671262,470.757157012192,491.73453566121,522.68165400313,549.753169831772,568.701752655122,590.105749916541,606.059640207008,620.424028961169,640.096606732698,650.416902418767,663.692694397034,673.997830139107,691.005099420312,695.865083571562
48000,219.559199385571,247.290716463647,291.348697988346,320.676292037621,357.139962682405,396.866859356527,420.919772383654,459.845685014681,497.742612237947,525.730171243002,555.64911541167,577.979880647994,595.727306500938,620.534402980528,635.252748397175,649.599744950393,651.061837470064,677.401529962858,683.257163114444,703.72463260312,720.426079430811
49000,218.255287120384,248.258216664798,293.044816851831,319.674452580541,363.463253851967,399.492454448455,431.904147413998,472.004596475461,500.169161106182,538.340069589744,556.541691665791,572.574226714741,602.513690066171,633.679835295657,647.702954248409,669.87363661907,669.220826986569,694.155243165947,699.143360070404,714.258181435104,725.693659804856
